Code,Type,Sec,Units,,Time,Place,,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
45517,Res,M,12-Jan,,    TBA,TBA,,5,0,n/a,0,0,X,Bookstore,,OPEN
45518,Res,N,12-Jan,,    TBA,TBA,,5,0,n/a,0,0,X,Bookstore,,OPEN
45519,Res,O,12-Jan,,    TBA,TBA,,5,0,n/a,0,0,X,Bookstore,,OPEN
45520,Res,P,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45521,Res,Q,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45522,Res,R,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45524,Res,S,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45526,Res,T,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45528,Res,U,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45530,Res,V,12-Jan,,    TBA,TBA,,15,1,n/a,1,0,X,Bookstore,,OPEN
45532,Res,W,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45533,Res,X,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45534,Res,Y,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45536,Res,Z,12-Jan,,    TBA,TBA,,15,1,n/a,1,0,X,Bookstore,,OPEN
45538,Res,AA,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45540,Res,BB,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45542,Res,CC,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45546,Res,DD,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45548,Res,EE,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45552,Res,FF,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45553,Res,GG,12-Jan,,    TBA,TBA,,15,0,n/a,1,0,X,Bookstore,,OPEN
45554,Res,HH,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45555,Res,II,12-Jan,,    TBA,TBA,,5,0,n/a,1,0,X,Bookstore,,OPEN
45558,Res,JJ,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45560,Res,KK,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45562,Res,LL,12-Jan,,    TBA,TBA,,15,0,n/a,2,0,X,Bookstore,,OPEN
45564,Res,MM,12-Jan,,    TBA,TBA,,15,1,n/a,3,0,X,Bookstore,,OPEN
45568,Res,NN,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45570,Res,OO,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45571,Res,PP,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45572,Res,QQ,12-Jan,,    TBA,TBA,,15,0,n/a,0,0,X,Bookstore,,OPEN
45990,Tut,A,4-Jan,,    TBA,VRTL REMOTE,,50,0,n/a,0,0,X and S,Bookstore,,OPEN
