Code,Type,Sec,Units,Instructor,Time,Place,Final,Max,Enr,WL,Req,Nor,Rstr,Textbooks,Web,Status
45160,Lec,A,4,KRUPCHYK K.,MWF   11:00-11:50 ,VRTL REMOTE,Fri Dec 18 8:00-10:00am,25,9,n/a,12,0,K and L,Bookstore,,OPEN
45200,Col,A,1,STAFF,Th   4:00- 4:50p,VRTL REMOTE,    TBA,0,0,n/a,0,0,K and S,Bookstore,,FULL
45300,Sem,A,2,STAFF,M   4:00- 4:50p,TBA,Wed Dec 16 4:00-6:00pm,20,6,n/a,8,0,L and S,Bookstore,,OPEN
45310,Sem,B,2,STAFF,M   4:00- 5:50p,TBA,Wed Dec 16 4:00-6:00pm,15,3,n/a,3,0,L and S,Bookstore,,OPEN
45320,Sem,C,2,STAFF,F   1:00- 1:50p,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45330,Sem,D,2,STAFF,Tu   4:00- 4:50p,TBA,    TBA,15,3,n/a,5,0,L and S,Bookstore,,OPEN
45340,Sem,E,2,STAFF,Tu   1:00- 1:50p,TBA,Fri Dec 18 4:00-6:00pm,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45350,Sem,F,2,STAFF,Tu   3:00- 3:50p,TBA,Tue Dec 15 4:00-6:00pm,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45360,Sem,G,2,STAFF,Th   2:00- 2:50p,TBA,    TBA,15,3,n/a,4,0,L and S,Bookstore,,OPEN
45370,Sem,H,2,STAFF,W   1:00- 1:50p,TBA,    TBA,30,3,n/a,5,0,L and S,Bookstore,,OPEN
45380,Sem,I,2,STAFF,Tu   11:00-11:50 ,TBA,Tue Dec 15 10:30-12:30pm,15,3,n/a,5,0,L and S,Bookstore,,OPEN
45390,Sem,J,2,ENCISO RUIZ G.,F   4:00- 4:50p,TBA,    TBA,72,21,n/a,21,0,L and S,Bookstore,,OPEN
45400,Sem,K,2,STAFF,Th   3:00- 3:50p,TBA,    TBA,15,8,n/a,8,0,L and S,Bookstore,,OPEN
45410,Sem,L,2,STAFF,F   3:00- 3:50p,TBA,    TBA,0,0,n/a,2,0,L and S,Bookstore,,FULL
45415,Sem,M,2,STAFF,F   3:00- 3:50p,TBA,    TBA,15,3,n/a,3,0,L and S,Bookstore,,OPEN
45420,Sem,N,2,STAFF,Tu   10:00-11:50 ,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45430,Sem,O,2,STAFF,F   1:00- 1:50p,TBA,    TBA,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45436,Sem,P,2,STAFF,Th   1:30- 2:50p,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45440,Sem,Q,2,STAFF,W   4:00- 5:50p,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45445,Sem,R,2,STAFF,Tu   2:00- 2:50p,TBA,Thu Dec 17 1:30-3:30pm,15,2,n/a,2,0,L and S,Bookstore,,OPEN
45450,Sem,S,2,STAFF,Th   10:00-11:50 ,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45465,Sem,T,2,STAFF,W   4:00- 5:50p,TBA,    TBA,15,0,n/a,0,0,L and S,Bookstore,,OPEN
45470,Sem,U,2,STAFF,M   4:00- 4:50p,TBA,Wed Dec 16 4:00-6:00pm,15,3,n/a,4,0,L and S,Bookstore,,OPEN
45500,Res,A,12-Jan,ALLARD J.,    TBA,TBA,    TBA,15,1,n/a,1,0,X,Bookstore,,OPEN
45501,Res,B,12-Jan,BARANOVSKY V.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45502,Res,C,12-Jan,CHEN L.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45504,Res,D,12-Jan,CRANSTON M.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45505,Res,E,12-Jan,DAVIS C.,    TBA,TBA,    TBA,1,0,n/a,0,0,X,Bookstore,,OPEN
45508,Res,F,12-Jan,ENCISO RUIZ G.,    TBA,TBA,    TBA,15,1,n/a,1,0,X,Bookstore,,OPEN
45509,Res,G,12-Jan,FERBER A.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45510,Res,H,12-Jan,FIGOTIN A.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45512,Res,I,12-Jan,FOREMAN M.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45514,Res,J,12-Jan,GOLDBRING I.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45515,Res,K,12-Jan,GORODETSKI A.,    TBA,TBA,    TBA,15,2,n/a,2,0,X,Bookstore,,OPEN
45516,Res,L,12-Jan,GUIDOTTI P.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45517,Res,M,12-Jan,HEZARI H.,    TBA,TBA,    TBA,5,0,n/a,0,0,X,Bookstore,,OPEN
45518,Res,N,12-Jan,HUBER K.,    TBA,TBA,    TBA,5,0,n/a,0,0,X,Bookstore,,OPEN
45519,Res,O,12-Jan,STAFF,    TBA,TBA,    TBA,5,0,n/a,0,0,X,Bookstore,,OPEN
45520,Res,P,12-Jan,JITOMIRSKAYA S.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45521,Res,Q,12-Jan,KAPLAN N.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45522,Res,R,12-Jan,KLEIN A.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45524,Res,S,12-Jan,KOMAROVA N.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45526,Res,T,12-Jan,KRUPCHYK K.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45528,Res,U,12-Jan,LI S.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45530,Res,V,12-Jan,LOWENGRUB J.,    TBA,TBA,    TBA,15,1,n/a,1,0,X,Bookstore,,OPEN
45532,Res,W,12-Jan,LU Z.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45533,Res,X,12-Jan,LUDWIG J.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45534,Res,Y,12-Jan,MOONEY C.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45536,Res,Z,12-Jan,NIE Q.,    TBA,TBA,    TBA,15,1,n/a,1,0,X,Bookstore,,OPEN
45538,Res,AA,12-Jan,PANTANO A.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45540,Res,BB,12-Jan,PELAYO R.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45542,Res,CC,12-Jan,SCHOEN R.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45546,Res,DD,12-Jan,SILVERBERG A.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45548,Res,EE,12-Jan,SOLNA K.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45552,Res,FF,12-Jan,STREETS J.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45553,Res,GG,12-Jan,TSENG L.,    TBA,TBA,    TBA,15,0,n/a,1,0,X,Bookstore,,OPEN
45554,Res,HH,12-Jan,VERSHYNIN R.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45555,Res,II,12-Jan,VIACLOVSKY J.,    TBA,TBA,    TBA,5,0,n/a,1,0,X,Bookstore,,OPEN
45558,Res,JJ,12-Jan,WAN D.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45560,Res,KK,12-Jan,WAN F.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45562,Res,LL,12-Jan,WOLFSON J.,    TBA,TBA,    TBA,15,0,n/a,2,0,X,Bookstore,,OPEN
45564,Res,MM,12-Jan,XIN J.,    TBA,TBA,    TBA,15,1,n/a,3,0,X,Bookstore,,OPEN
45568,Res,NN,12-Jan,YU Y.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45570,Res,OO,12-Jan,ZEMAN M.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45571,Res,PP,12-Jan,ZHANG X.,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45572,Res,QQ,12-Jan,STAFF,    TBA,TBA,    TBA,15,0,n/a,0,0,X,Bookstore,,OPEN
45990,Tut,A,4-Jan,ENCISO RUIZ G.,    TBA,VRTL REMOTE,    TBA,50,0,n/a,0,0,X and S,Bookstore,,OPEN
